Date,CP,n_headlines,sentiment_mean,sentiment_std,positive_share,negative_share,neutral_share,pos_score_mean,neg_score_mean,sentiment_trend,sentiment_reversal,sentiment_change,return_1d,return_5d,volatility_5d,roll_max_5d,roll_min_5d,cp_lag1,cp_lag2,fwd_return,target
2023-09-18,4453.53,13,0.6923076923076923,0.6304251719561151,0.7692307692307693,0.0769230769230769,0.1538461538461538,0.775767,0.08529579,0.4807692307692308,0,0.4423076923076923,0.0007212964460983073,-0.007561070182241281,0.007782743340165408,4505.1,4450.32,4450.32,4505.1,-0.027737547518485228,-1
2023-09-19,4443.95,14,0.5,0.6504436355879909,0.5714285714285714,0.0714285714285714,0.3571428571428571,0.5938598,0.074003465,0.4807692307692308,0,-0.1923076923076923,-0.0021511026084926055,-0.004022949864407543,0.0074588351276787986,4505.1,4443.95,4453.53,4450.32,-0.02787835146660056,-1
2023-09-20,4402.2,20,0.2,0.9514531821875089,0.55,0.35,0.1,0.50611776,0.34524456,0.464102564102564,0,-0.3,-0.009394795170962755,-0.014603441792167327,0.008215260033154414,4505.1,4402.2,4443.95,4453.53,-0.014710826404979338,-1
2023-09-21,4330.0,13,0.4615384615384615,0.5188745216627708,0.4615384615384615,0.0,0.5384615384615384,0.45854968,0.0018816921,0.3871794871794872,0,0.2615384615384615,-0.016400890463858953,-0.03886706177443344,0.007071373089968106,4453.53,4330.0,4402.2,4443.95,-0.013041570438799166,-1
2023-09-22,4320.06,17,0.0,0.7905694150420949,0.2941176470588235,0.2941176470588235,0.4117647058823529,0.3063468,0.2654694,0.2205128205128205,0,-0.4615384615384615,-0.0022956120092377796,-0.029269805317370334,0.0069528701953570065,4453.53,4320.06,4330.0,4402.2,-0.010543835039328209,-1
2023-09-25,4337.44,15,0.4,0.8280786712108251,0.6,0.2,0.2,0.63940597,0.17346808,0.2871794871794872,0,0.4,0.00402309227186648,-0.026066962611681066,0.007839695632991884,4443.95,4320.06,4320.06,4330.0,-0.008700984912759502,-1
2023-09-26,4273.53,5,0.4,0.5477225575051661,0.4,0.0,0.6,0.47665852,5.533385e-05,0.2666666666666666,0,0.0,-0.01473449776826885,-0.03834876630025097,0.008583151526661276,4402.2,4273.53,4337.44,4320.06,0.0033976595460896153,0
2023-09-27,4274.51,13,0.0,0.816496580927726,0.3076923076923077,0.3076923076923077,0.3846153846153846,0.33616063,0.23965614,0.2666666666666666,0,-0.4,0.0002293186195019281,-0.029005951569669675,0.009183195388229856,4337.44,4273.53,4273.53,4337.44,0.003247155814350755,0
2023-09-28,4299.7,13,0.4615384615384615,0.6602252917735247,0.5384615384615384,0.0769230769230769,0.3846153846153846,0.5456291,0.07352603,0.2871794871794872,0,0.4615384615384615,0.005893073124170867,-0.006997690531177825,0.008121911934816128,4337.44,4273.53,4274.51,4273.53,-0.0163383491871526,-1
2023-09-29,4288.05,31,0.1935483870967742,0.7924373724448588,0.4193548387096774,0.2258064516129032,0.3548387096774194,0.412445,0.22747754,0.2183622828784119,0,-0.2679900744416874,-0.002709491359862204,-0.007409619310842941,0.008135712965693436,4337.44,4273.53,4299.7,4274.51,-0.005666911533214414,-1
2023-10-02,4288.39,24,0.125,0.8501917942185291,0.4166666666666667,0.2916666666666667,0.2916666666666667,0.42675135,0.30606964,0.2600289495450785,0,-0.0685483870967741,7.92901202177898e-05,-0.011308513777712026,0.0076478110951240215,4299.7,4273.53,4288.05,4299.7,-0.0070422699427992175,-1
